"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Gavin Williamson ","@GavinWilliamson","Conservative","South Staffordshire",104542,19
"Geoffrey Cox QC ","@Geoffrey_Cox","Conservative","Torridge and West Devon",40448,-6
"Geoffrey Robert Clifton-Brown",,"Conservative","The Cotswolds",,
"George Eustice",,"Conservative","Camborne and Redruth",,
"George Freeman ","@GeorgeFreemanMP","Conservative","Mid Norfolk",31052,0
"George Howarth",,"Labour","Knowsley",,
"Geraint Davies ","@GeraintDaviesMP","Labour","Swansea West",16116,0
"Gerald Jones ","@GeraldJonesLAB","Labour","Merthyr Tydfil and Rhymney",7675,-1
"Giles Watling","@GilesWatling","Conservative","Clacton",4574,3
"Gill Furniss ","@GillFurnissMP","Labour","Sheffield, Brightside and Hillsborough",7397,-1
"Gillian Keegan","@GillianKeegan","Conservative","Chichester",15973,4
"Gordon Henderson",,"Conservative","Sittingbourne and Sheppey",,
"Graham Brady","@SirGrahamBrady","Conservative","Altrincham and Sale West",23102,2
"Graham Stringer",,"Labour","Blackley and Broughton",,
"Graham Stuart ","@grahamstuart","Conservative","Beverley and Holderness",17689,3
"Grahame Morris ","@grahamemorris","Labour","Easington",32874,4
"Grant Shapps ","@grantshapps","Conservative","Welwyn Hatfield",172060,25
"Greg Clark","@GregClarkMP","Conservative","Tunbridge Wells",32557,-8
"Greg Hands ","@GregHands","Conservative","Chelsea and Fulham",43799,9
"Greg Knight ","@GregKnight","Conservative","East Yorkshire",11686,1
"Greg Smith","@gregsmith_uk","Conservative","Buckingham",8031,6
"Gregory Campbell",,"Democratic Unionist Party","East Londonderry",,
"Guy Opperman ","@GuyOpperman","Conservative","Hexham",22476,-1
"Hannah Bardell ","@HannahB4LiviMP","Scottish National Party","Livingston",25802,0
"Harriet Harman QC ","@HarrietHarman","Labour","Camberwell and Peckham",188562,4
"Harriett Baldwin ","@hbaldwin","Conservative","West Worcestershire",28247,-8
"Heather Wheeler ","@HeatherWheeler","Conservative","South Derbyshire",20819,-2
"Helen Grant ","@HelenGrantMP","Conservative","Maidstone and The Weald",22286,-1
"Helen Hayes ","@helenhayes_","Labour","Dulwich and West Norwood",25808,-4
"Helen Morgan","@helenhalcrow","Liberal Democrat","North Shropshire",12827,2
"Helen Whately ","@Helen_Whately","Conservative","Faversham and Mid Kent",24692,-1
"Henry Smith ","@HenrySmithUK","Conservative","Crawley",17512,1
"Hilary Benn ","@hilarybennmp","Labour","Leeds Central",168925,2
"Holly Lynch ","@HollyLynch5","Labour","Halifax",25141,-3
"Holly Mumby-Croft",,"Conservative","Scunthorpe",,
"Huw Merriman ","@HuwMerriman","Conservative","Bexhill and Battle",20704,0
"Hywel Williams ","@HywelPlaidCymru","Plaid Cymru","Arfon",10548,4
"Iain Duncan Smith","@MPIainDS","Conservative","Chingford and Woodford Green",60545,16
"Iain Stewart ","@iainastewart","Conservative","Milton Keynes South",19118,-3
"Ian Blackford ","@Ianblackford_MP","Scottish National Party","Ross, Skye and Lochaber",164458,45
"Ian Byrne","@IanByrneMP","Labour","Liverpool, West Derby",35474,41
"Ian Lavery ","@IanLaveryMP","Labour","Wansbeck",92059,5
"Ian Levy",,"Conservative","Blyth Valley",,
"Ian Liddell-Grainger",,"Conservative","Bridgwater and West Somerset",,
"Ian Mearns ","@IanMearnsMP","Labour","Gateshead",28495,-3
"Ian Murray ","@IanMurrayMP","Labour","Edinburgh South",33861,-1
"Ian Paisley Jr",,"Democratic Unionist Party","North Antrim",,
"Imran Hussain ","@Imran_HussainMP","Labour","Bradford East",21708,-5
"Imran Nasir Ahmad Khan","@imranahmadkhan","Conservative","Wakefield",6082,1
